OpenAir St.Gallen vom 25.06.2026 bis zum 28.06.2026;;;;
#;Name;Untertitel;Preis für 3 Nächte;Preis pro Nacht
54;Zimmer in Rorschach;Ruhe für Musiker! B&B am Bodensee.;CHF 307;CHF 102.33
55;Privatunterkunft in Eggersriet;Appenzeller Hausteil mit Garten;CHF 449;CHF 149.67
56;Jurte (Rundzelt) in Bischofszell;Swissyurte (Rundhaus) Natur pur Ideal für 2 Pers.;CHF 230;CHF 76.67
57;Wohnung in Rorschach;Ruhige Lage am Bodensee;CHF 704;CHF 234.67
58;Wohnung in Rorschacherberg;Helle Wohnung in Rorschacherberg am Bodensee;CHF 271;CHF 90.33
59;Unterkunft in St. Gallen;YELLOW INN B 28 nähe Uni, Olma, Spital, FHS;CHF 654;CHF 218.00
60;Wohnung in St. Gallen;TouchBed | Loft mit Loggia und Whirlpool;CHF 1’527;CHF 509.00
61;Privatunterkunft in Winden;Wellnessoase;CHF 888;CHF 296.00
62;Wohnung in St. Gallen;TouchBed | Business Apartment Top Floor;CHF 731;CHF 243.67
63;Eigentumswohnung in Arbon;Haus MiLu Ferienwohnung;CHF 450;CHF 150.00
64;Eigentumswohnung in St. Gallen;Moderne Wohnung nahe Messe und Zentrum;CHF 1’115;CHF 371.67
65;Wohnung in St. Gallen;Klara 1033 - Olma, Spital, Universität St. Gallen;CHF 963;CHF 321.00
66;Zimmer in St. Gallen;Vintage Rustica 31 zur Olma 1 Min.;CHF 716;CHF 238.67
67;Wohnung in St. Gallen;Klara 1014- Olma, Spital, Uni St. Gallen;CHF 1’022;CHF 340.67
68;Wohnung in Arbon;3 Doppelzimmer Apartment in 9320 Arbon 8 A;CHF 425;CHF 141.67
69;Zimmer in Horn;Zimmer an der Fahrradroute am Bodensee;CHF 225;CHF 75.00
70;Wohnung in Andwil;Das Rocky Docky-Haus gemütliche Wohnung in Andwil;CHF 343;CHF 114.33
71;Zimmer in Arbon;"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah";CHF 228;CHF 76.00
72;Wohnung in St. Gallen;Studio mit Balkon in der Altstadt von St. Gallen;CHF 1’080;CHF 360.00
73;Wohnung in St. Gallen;Studio mit Balkon in der Altstadt von St. Gallen;CHF 1’080;CHF 360.00
74;Gästehaus in Bischofszell;Auszeit an der Sitter (Hunde erlaubt);CHF 444;CHF 148.00
75;Gemeinsames Zimmer in St. Gallen;Einzelbett in einem Schlafsaal mit 6 Betten;CHF 181;CHF 60.33
76;Blockhütte in Bischofszell;Ferienhaus Bijou-Sitterblick, Preis für 2 Personen;CHF 358;CHF 119.33
77;Zimmer in Zihlschlacht-Sitterdorf;Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN;CHF 155;CHF 51.67
78;Wohnung in Rorschach;Stilvolle Wohnung mit Balkon nahe Bodensee;CHF 614;CHF 204.67
79;Wohnung in St. Gallen;Designstudio 55 m² - St. Georgen-Straße;CHF 919;CHF 306.33
80;Zimmer in Eggersriet;Haus mit Garten, ruhig, Top Aussicht (Zimmer 2);CHF 258;CHF 86.00
81;Wohnung in Horn;S-Cape Suite&Spa - Pure Auszeit;CHF 704;CHF 234.67
