category,name,original_price,discounted_price,price_per_night
Openair (25.06.2026 - 28.06.2026),"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah",228 CHF,,228
Openair (25.06.2026 - 28.06.2026),Helle Wohnung in Rorschacherberg am Bodensee,271 CHF,,271
Openair (25.06.2026 - 28.06.2026),Doppelzimmer ruhige Lage nahe ÖV,398 CHF,,398
Openair (25.06.2026 - 28.06.2026),"Ferienhaus Bijou-Sitterblick, Preis für 2 Personen",358 CHF,,358
Openair (25.06.2026 - 28.06.2026),3 Doppelzimmer Apartment in 9320 Arbon 8 A,425 CHF,,425
Openair (25.06.2026 - 28.06.2026),Einzelbett in einem Schlafsaal mit 6 Betten,181 CHF,,181
Openair (25.06.2026 - 28.06.2026),Designstudio 55 m² – St. Georgen-Straße,919 CHF,,919
Openair (25.06.2026 - 28.06.2026),Modernes Studio – Steigerstraße,701 CHF,,701
Openair (25.06.2026 - 28.06.2026),Superior Apartment mit Seesicht,585 CHF,,585
Openair (25.06.2026 - 28.06.2026),S-Cape Suite&Spa - Pure Auszeit,704 CHF,,704
Openair (25.06.2026 - 28.06.2026),Studio mit Balkon in der Altstadt von St. Gallen,1’080 CHF,,1080
Openair (25.06.2026 - 28.06.2026),Stilvolle Wohnung mit Balkon nahe Bodensee,614 CHF,,614
Openair (25.06.2026 - 28.06.2026),Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN,155 CHF,,155
Openair (25.06.2026 - 28.06.2026),Auszeit an der Sitter (Hunde erlaubt),444 CHF,,444
Openair (25.06.2026 - 28.06.2026),Studio Apartment mit Seesicht,549 CHF,,549
Openair (25.06.2026 - 28.06.2026),Das Rocky Docky-Haus gemütliche Wohnung in Andwil,343 CHF,,343
Openair (25.06.2026 - 28.06.2026),See-Wohnung mit Gratisparkplatz,625 CHF,,625
Openair (25.06.2026 - 28.06.2026),"schöne Wohnung in Flawil - neu, naturnah, ruhig",594 CHF,,594
Openair (25.06.2026 - 28.06.2026),Casa Siddhartha - Th. Mann,179 CHF,,179
Openair (25.06.2026 - 28.06.2026),Dom Studio K ohne Reinigung,798 CHF,,798
Openair (25.06.2026 - 28.06.2026),Schöne Wohnung 5 Minuten vom Bodensee entfernt,669 CHF,,669
