event,name,price_per_night
OASG,"Klara 1031 - Olma, Spital, Universität St. Gallen",365.67 CHF
OASG,book2stay 2-Zi Apartment #6 Ebenalp bis 4 Personen,461.0 CHF
OASG,"schöne Wohnung in Flawil - neu, naturnah, ruhig",198.0 CHF
OASG,Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN,51.67 CHF
OASG,"YELLOW INN B 25 nähe Uni, Olma, Spital, FHS",234.0 CHF
OASG,See-Wohnung mit Gratisparkplatz,208.33 CHF
OASG,Bodensee | Zentral | Hochwertig | Nähe St.Gallen,404.33 CHF
OASG,"YELLOW INN 4 nähe Uni, Olma, Spital, FHS",260.67 CHF
OASG,Zimmer für 4 Personen,134.33 CHF
OASG,Zimmer für 3 Personen,127.33 CHF
OASG,Zentrale 3 1/2-grosse Wohnung 2.OG,267.67 CHF
OASG,book2stay 2-Zi Apartment #4 Hoher Kasten bis 4 Per,461.0 CHF
OASG,Nani’s Höckli im Appenzellerland,104.0 CHF
OASG,"YELLOW INN 9 nähe Olma, Uni, Spital, FHS",234.0 CHF
OASG,Studio Apartment mit Seesicht,183.0 CHF
OASG,NTN House,101.33 CHF
OLMA,Das Haus mit dem Schwein,43.6 CHF
OLMA,"St.Gallen zentral, ruhig, bei Badeweihern und Wald",102.8 CHF
OLMA,Gemütliche Wohnung,77.9 CHF
OLMA,4 Zimmer mit Charme an bester Lage,130.6 CHF
OLMA,St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,77.3 CHF
OLMA,2. Modernes Apartment 2 Min vom Bahnhof,151.0 CHF
OLMA,BLIV: Grosszügiges Altbaujuwel im Zentrum,342.1 CHF
OLMA,Zur Geduld (direkt am Bahnhof),70.6 CHF
OLMA,Studio mit Panoramaaussicht,60.0 CHF
OLMA,"2 Zimmer mit Balkon, Netflix und Mietfahrräder",104.6 CHF
OLMA,"Historischer Charme in der Altstadt.
Superior-DZ",123.9 CHF
OLMA,1 Zimmerwohnung ohne Küche mitten im Zentrum,74.3 CHF
OLMA,Idyllische Wohnung in der Natur,142.6 CHF
OLMA,gemütliche Dachwohnung,90.0 CHF
OLMA,"2.5 Zimmer, modern, ruhig und zentrumsnah",137.3 CHF
OLMA,Gästezimmer mit Dusche/WC,68.8 CHF
OLMA,"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",84.2 CHF
OLMA,Studio mit Charme und Aussicht,60.0 CHF
OLMA,Weltbürger:in 7,109.0 CHF
OLMA,Die gesamte MIND the GAP Villa,573.3 CHF
OLMA,Bella Vista,100.0 CHF
OLMA,"Stilvolle Wohnung, historischer Charme/Altstadt",228.3 CHF
OLMA,2.5 Zimmer Dachwohnung mit Gartensitzplatz,107.8 CHF
OLMA,Ganze Wohnung mitten in der Altstadt von Arbon,61.2 CHF
OLMA,Fühlen sie sich wie zu Hause,53.9 CHF
OLMA,Bijoux Ferienwohnung auf Bauernhof im Wald,91.6 CHF
OLMA,Charmante Wohnung im Zentrum von Goldach,76.7 CHF
OLMA,Kernsanierte Wohnung nähe Bahnhof und Zentrum,115.0 CHF
OLMA,gemütliche Wohnung,116.2 CHF
OLMA,Haus am Bodensee mit grossem Garten,150.5 CHF
OLMA,Es können zwei Personen darin schlafen.,39.7 CHF
OLMA,Ferienwohnung Narnia,87.3 CHF
OLMA,1. Modernes Apartment 2 Min vom Bahnhof,151.0 CHF
OLMA,gemütliches Zimmer mit Privatsphäre,42.8 CHF
OLMA,TouchBed | Budget Zwei-Bett-Zimmer,87.8 CHF
OLMA,Grosszügige Garten-Wohnung,174.0 CHF
OLMA,Historisches Penthouse-Apartment in der Altstadt,179.3 CHF
OLMA,hübsche Wohnung mit Sonnenterrasse,98.0 CHF
OLMA,Studio Trailalps: in der Nähe von St. Gallen,65.7 CHF
OLMA,Genieße den Seeblick von der Dachterrasse,166.1 CHF
OLMA,Modernes Studio nahe Bodensee | Ruhig & zentral,64.0 CHF
OLMA,"BLIV: Design-Apartment mit Parkplatz, nahe Zentrum",307.0 CHF
OLMA,"Stilvolles, historisches Doppelzimmer/ Altstadt",102.1 CHF
OLMA,spezielle Wohnung in Goldach,74.8 CHF
OLMA,Mein Haus ihr Haus,50.1 CHF
OLMA,Ferien auf dem Billenberghof,148.6 CHF
OLMA,Wohnung 2-3 Bett in Rorschach am Bodensee,88.9 CHF
OLMA,"Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum",216.0 CHF
OLMA,Ganzes Haus mit Pool und Homecinema in Rotmonten,506.0 CHF
OLMA,Stadtstudio,89.9 CHF
OLMA,Modernes Apartment mit Balkon & Parkplatz/Nähe See,201.3 CHF
OLMA,1er Zimmer ruhig 5 Min. bis ÖV,60.2 CHF
OLMA,Charmante grosse Wohnung nähe Zentrum und Autobahn,96.9 CHF
OLMA,Charmante und zentrale Wohnung am Weiherpark Arbon,128.0 CHF
OLMA,gemütliches Zimmer mit Privatsphäre,42.8 CHF
OLMA,"Gelb, gelb, gelb, gelb!",159.6 CHF
OLMA,Charmante grosse Wohnung nähe Zentrum und Autobahn,96.9 CHF
OLMA,"Charmante, sehr zentral gelegene 4-Zimmerwohnung",166.4 CHF
OLMA,St Gallen City- 5 min. vom Bahnhof- klein & fein,119.9 CHF
OLMA,Charmante und zentrale Wohnung am Weiherpark Arbon,128.0 CHF
OLMA,Genieße den Seeblick von der Dachterrasse,166.1 CHF
OLMA,Casa Siddhartha - „H.Hesse“,42.9 CHF
OLMA,Helle Wohnung in Rorschacherberg am Bodensee,73.0 CHF
OLMA,Stilvolles Doppelzimmer/Historisches Altstadtflair,109.5 CHF
OLMA,Zentrales Studio | 5 Min. zum Bahnhof,118.3 CHF
OLMA,Studio mit Balkon in der Altstadt von St. Gallen,164.8 CHF
OLMA,Charmante Wohnung mit Blick zum Säntis,168.8 CHF
OLMA,TouchBed | Superior-Studio,154.3 CHF
OLMA,Zentrale Stadtwohnung mit Terasse,193.9 CHF
OLMA,BLIV: Exklusive Dachgeschosswohnung im Zentrum,286.8 CHF
OLMA,"Klara 0002 - Olma, Spital, Universität St. Gallen",191.6 CHF
OLMA,Ruhiges Loft am Park (Anliegerstrasse) - Bodensee,75.7 CHF
OLMA,Stadtwohnung mit Küche & gratis Parkplatz,204.2 CHF
OLMA,Schönes Zimmer in der Nähe des Stadtzentrums,38.3 CHF
OLMA,Gemütliche Ferienwohnung auf Bio Bauernhof,99.2 CHF
OLMA,Ruhiges Loft am Park (Anliegerstrasse) - Bodensee,75.7 CHF
OLMA,Zentrale Stadtwohnung mit Terasse,193.9 CHF
OLMA,TouchBed | Budget Einzelzimmer,89.7 CHF
OLMA,Exklusive Jugendstil-Wohnung Nähe Olma/Uni/Zentrum,162.1 CHF
OLMA,Maisonette am Bodensee | Parkplatz | Hoher Komfort,266.7 CHF
OLMA,grosse Privat-Zimmer in sonnigem Einfamilienhaus,55.3 CHF
OLMA,Zimmer Bulli,55.4 CHF
OLMA,Schmuckes Zimmer (Bett 140x200 ) nahe REHA Klinik,41.8 CHF
OLMA,Heimeliges altes Ferienhäuschen in Wald AR,102.8 CHF
OLMA,Casa Siddhartha - R. Musil,49.7 CHF
OLMA,Altstadtflair in historischem Doppelzimmer,110.5 CHF
OLMA,Studio mit Balkon in der Altstadt von St. Gallen,164.8 CHF
OLMA,"Klara 1014 – Olma, Spital, Uni St. Gallen",210.7 CHF
OLMA,Geräumige 95 m² Wohnung • Balkon • Bergblick,142.2 CHF
OLMA,Ruhiger Ort auf dem Dorfhügel.,46.1 CHF
OLMA,Schöne 2 1/2 Zimmer Dachwohnung,107.2 CHF
OLMA,"Klara 0002 - Olma, Spital, Universität St. Gallen",191.6 CHF
OLMA,Stilvoll&zentral in St.Gallen -WYBA Living,156.4 CHF
OLMA,2-Zimmer Apartment in der Altstadt von St. Gallen,181.6 CHF
OLMA,Schlossapartament,100.8 CHF
OLMA,Premium Atmosphäre pur,371.5 CHF
OLMA,Ruhe für Musiker! B&B am Bodensee.,94.5 CHF
OLMA,Moderne Wohnung nahe Messe und Zentrum,196.5 CHF
OLMA,Designstudio 65 m² - St. Georgen-Straße,242.5 CHF
OLMA,Seeblick-Apartment mit Balkon,144.9 CHF
OLMA,Gemütliche Souterrainwohnung mit gratis Parkplatz,134.2 CHF
OLMA,Appenzeller Hausteil mit Garten,114.5 CHF
OLMA,St. Gallen ist schön,50.6 CHF
OLMA,Ruhiger Ort auf dem Dorfhügel Wittenbach,38.1 CHF
OLMA,Zu Gast im Hecht Rehetobel,70.4 CHF
OLMA,Moderne Wohnung nahe Messe und Zentrum,196.5 CHF
OLMA,"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah",59.4 CHF
OLMA,Bijou in der Stadt St. Gallen,140.7 CHF
